URL,Page type,Primary keyword,Secondary keywords,Search intent,Funnel stage,User problem,Suggested title,Suggested H1,Suggested meta description,Supporting sections,Internal links in,Internal links out,Cannibalization risk,Indexability,Content priority,Validation
/,Homepage,خرید ساعت,"فروشگاه ساعت، ساعت مچی",Transactional + Commercial,MOFU/BOFU,شروع انتخاب,خرید و مقایسه ساعت / KRONOS,"ساعتی متناسب با سبک، کاربرد و بودجه شما",مقایسه مدل‌ها بر اساس موتور و کاربرد,"جنسیت؛ سبک؛ موتور؛ راهنما",Brand mentions,"دسته؛ برند؛ راهنما",Home کشف و /watches فهرست,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches,Product listing,خرید ساعت مچی,قیمت ساعت مچی,Transactional,BOFU,دیدن همه مدل‌ها,خرید ساعت مچی و مقایسه مدل‌ها / KRONOS,ساعت‌های مچی,فیلتر و مقایسه مدل‌ها,"فیلتر؛ sort؛ راهنما",Home; categories,"Product; brand; compare",با Home تفکیک intent,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches/men,Category,ساعت مردانه,خرید ساعت مردانه,Transactional,BOFU,اندازه و کاربرد,خرید ساعت مردانه / KRONOS,ساعت مردانه,مقایسه اندازه قاب و موتور,"اندازه؛ سبک؛ موتور",Home; guides,"Product; size guide",Category خرید و article آموزش,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches/women,Category,ساعت زنانه,خرید ساعت زنانه,Transactional,BOFU,ابعاد و طراحی,خرید ساعت زنانه / KRONOS,ساعت زنانه,بررسی قطر قاب و نوع موتور,"اندازه؛ سبک؛ بند",Home; guides,"Product; size guide",تفکیک از guide,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches/luxury,Category,ساعت لوکس,خرید ساعت لوکس,Transactional + Commercial,BOFU,reference و شرایط,خرید و مقایسه ساعت لوکس / KRONOS,ساعت لوکس,بررسی reference و شرایط فروش,"مدل؛ اصالت؛ گارانتی",Home; luxury guide,"Product; brand; compare",دسته خرید و guide آموزش,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches/classic,Category,ساعت کلاسیک,ساعت رسمی,Transactional,BOFU,مدل رسمی/روزمره,خرید ساعت کلاسیک / KRONOS,ساعت کلاسیک,مقایسه طراحی و نوع موتور,"کاربرد؛ ابعاد؛ بند",Home; formal guide,"Product; size guide",تفکیک از formal guide,"index,follow",P1,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches/sport,Category,ساعت اسپرت,ساعت ورزشی,Transactional,BOFU,ویژگی فعالیت,خرید ساعت اسپرت / KRONOS,ساعت اسپرت,بررسی مقاومت آب و بدنه,"فعالیت؛ آب؛ وزن",Home; water guide,"Product; compare",scope با smart روشن,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches/smart,Category,ساعت هوشمند,اسمارت واچ,Transactional + Commercial,BOFU,سازگاری و امکانات,خرید ساعت هوشمند / KRONOS,ساعت هوشمند,مقایسه سازگاری و شارژدهی,"سازگاری؛ سنسور؛ باتری",Home; guides,"Product; compare",health queries جدا,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches/automatic,Category,ساعت اتوماتیک,خرید ساعت اتوماتیک,Transactional,BOFU,موتور و نگهداری,خرید ساعت اتوماتیک / KRONOS,ساعت اتوماتیک,مقایسه کالیبر و ذخیره انرژی,"کالیبر؛ reserve؛ care",Home; automatic guide,"Product; compare",دسته خرید و guide تعریف,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches/mechanical,Category,ساعت مکانیکی,ساعت کوکی,Transactional,BOFU,کوکی یا اتوماتیک,خرید ساعت مکانیکی / KRONOS,ساعت مکانیکی,مقایسه روش کوک و کالیبر,"manual؛ automatic؛ care",Movement guide,"Product; quartz compare",مکانیکی taxonomy والد,"index,follow",P1,REQUIRES_KEYWORD_TOOL_VALIDATION
